Plane 0 | Job 4 | Site 4 | Start 0 | End 38.63140728937397
Plane 1 | Job 4 | Site 1 | Start 0 | End 43.31888188225814
Plane 2 | Job 4 | Site 15 | Start 0 | End 36.399563950724726
Plane 3 | Job 4 | Site 0 | Start 0 | End 44.85148772213166
Plane 4 | Job 4 | Site 13 | Start 0 | End 22.373021376320203
Plane 5 | Job 4 | Site 7 | Start 0 | End 17.242703172337905
Plane 6 | Job 4 | Site 2 | Start 0 | End 41.6547601177967
Plane 7 | Job 4 | Site 3 | Start 0 | End 40.156781834950394
Plane 5 | Job 2 | Site 7 | Start 17 | End 23.0
Plane 4 | Job 2 | Site 13 | Start 22 | End 28.0
Plane 5 | Job 3 | Site 8 | Start 23 | End 40.570992026436485
Plane 4 | Job 3 | Site 5 | Start 28 | End 59.058953888718904
Plane 2 | Job 2 | Site 13 | Start 36 | End 58.31349134918703
Plane 0 | Job 2 | Site 7 | Start 38 | End 71.90340481016608
Plane 5 | Job 8 | Site 17 | Start 40 | End 67.05862094748946
Plane 7 | Job 2 | Site 15 | Start 40 | End 53.15891053163818
Plane 6 | Job 2 | Site 4 | Start 41 | End 51.23792402008342
Plane 1 | Job 2 | Site 3 | Start 43 | End 53.20594816896262
Plane 3 | Job 2 | Site 0 | Start 44 | End 50.0
Plane 3 | Job 3 | Site 2 | Start 50 | End 69.27200187265876
Plane 6 | Job 3 | Site 0 | Start 51 | End 74.50940655980193
Plane 1 | Job 3 | Site 10 | Start 53 | End 95.99571395767573
Plane 7 | Job 3 | Site 8 | Start 53 | End 93.30019762768663
Plane 2 | Job 3 | Site 1 | Start 58 | End 94.0667985227941
Plane 4 | Job 8 | Site 4 | Start 59 | End 65.11896201004171
Plane 4 | Job 6 | Site 6 | Start 65 | End 106.0007692193904
Plane 5 | Job 6 | Site 5 | Start 67 | End 88.46374504447692
Plane 3 | Job 8 | Site 2 | Start 69 | End 73.0
Plane 0 | Job 3 | Site 16 | Start 71 | End 109.44802763560295
Plane 3 | Job 6 | Site 12 | Start 73 | End 110.61769218996491
Plane 6 | Job 8 | Site 2 | Start 74 | End 82.27200187265876
Plane 6 | Job 6 | Site 14 | Start 82 | End 104.8549347546622
Plane 5 | Job 7 | Site 15 | Start 88 | End 93.1144823004795
Plane 5 | Job 1 | Site 5 | Start 93 | End 106.1144823004795
Plane 7 | Job 8 | Site 11 | Start 93 | End 105.36480723029527
Plane 2 | Job 8 | Site 9 | Start 94 | End 133.28526604689273
Plane 1 | Job 8 | Site 1 | Start 95 | End 130.5944615399598
Plane 6 | Job 7 | Site 7 | Start 104 | End 130.80846629681085
Plane 7 | Job 6 | Site 3 | Start 105 | End 144.41802612825205
Plane 4 | Job 7 | Site 0 | Start 106 | End 142.10703739699477
Plane 5 | Job 0 | Site 6 | Start 106 | End 140.01686907155053
Plane 0 | Job 8 | Site 17 | Start 109 | End 115.00997512422418
Plane 3 | Job 7 | Site 15 | Start 110 | End 129.889941307897
Plane 0 | Job 6 | Site 5 | Start 115 | End 136.46374504447692
Plane 3 | Job 1 | Site 8 | Start 129 | End 164.30019762768663
Plane 1 | Job 6 | Site 12 | Start 130 | End 169.31892267350673
Plane 6 | Job 1 | Site 1 | Start 130 | End 173.8036980225537
Plane 2 | Job 6 | Site 2 | Start 133 | End 181.39011829868232
Plane 0 | Job 7 | Site 4 | Start 136 | End 140.1189620100417
Plane 0 | Job 1 | Site 5 | Start 140 | End 152.1189620100417
Plane 5 | Job -1 | Site 16 | Start 140 | End 171.1624667749296
Plane 4 | Job 1 | Site 0 | Start 142 | End 152.0
Plane 7 | Job 7 | Site 11 | Start 144 | End 170.41802612825205
Plane 0 | Job 0 | Site 6 | Start 152 | End 186.01686907155053
Plane 4 | Job 0 | Site 10 | Start 152 | End 195.39176545197932
Plane 3 | Job 0 | Site 5 | Start 164 | End 200.9874044694928
Plane 1 | Job 7 | Site 0 | Start 169 | End 196.93472575524947
Plane 7 | Job 1 | Site 4 | Start 170 | End 202.76927754672948
Plane 6 | Job 0 | Site 1 | Start 173 | End 183.0
Plane 2 | Job 7 | Site 3 | Start 181 | End 185.1540659228538
Plane 6 | Job -1 | Site 1 | Start 183 | End 193.0
Plane 2 | Job 1 | Site 2 | Start 185 | End 197.1540659228538
Plane 0 | Job -1 | Site 8 | Start 186 | End 201.2773099207835
Plane 4 | Job -1 | Site 12 | Start 195 | End 213.2
Plane 1 | Job 1 | Site 1 | Start 196 | End 208.2360679774998
Plane 2 | Job 0 | Site 0 | Start 197 | End 211.27200187265876
Plane 3 | Job -1 | Site 16 | Start 200 | End 214.81040538832227
Plane 7 | Job 0 | Site 3 | Start 202 | End 214.08806130178212
